fight_id,fighter_name,height_disp,age_disp,knockdowns_disp,sig_strikes_landed_disp,total_strikes_attempted_disp,takedowns_landed_disp,takedowns_attempted_disp,sub_attemps_disp,control_time_disp,body_strikes_landed_disp,leg_strikes_landed_disp,outcome
1295,Israel Adesanya,4.0,4.099999999999998,0.0,14.0,-13.0,0.0,-4.0,0.0,-0.49,3.0,1.0,1.0
1295,Marvin Vettori,-4.0,-4.099999999999998,0.0,-14.0,13.0,0.0,4.0,0.0,0.49,-3.0,-1.0,0.0
1296,John Moraga,2.0,0.8000000000000043,0.0,25.0,14.0,-5.0,-11.0,1.0,-3.25,8.0,-1.0,1.0
1296,Wilson Reis,-2.0,-0.8000000000000043,0.0,-25.0,-14.0,5.0,11.0,-1.0,3.25,-8.0,1.0,0.0
1297,Brad Tavares,0.0,1.6000000000000014,0.0,7.0,18.0,0.0,-2.0,0.0,1.71,2.0,8.0,1.0
1297,Krzysztof Jotko,-0.0,-1.6000000000000014,0.0,-7.0,-18.0,0.0,2.0,0.0,-1.71,-2.0,-8.0,0.0
1298,Yushin Okami,0.0,7.5000000000000036,0.0,-6.0,1.0,3.0,9.0,0.0,7.94,-3.0,-2.0,1.0
1298,Dhiego Lima,-0.0,-7.5000000000000036,0.0,6.0,-1.0,-3.0,-9.0,0.0,-7.94,3.0,2.0,0.0
1299,Luke Sanders,-2.0,-4.300000000000004,1.0,3.0,29.0,-1.0,-5.0,0.0,0.33,-2.0,-16.0,1.0
1299,Patrick Williams,2.0,4.300000000000004,-1.0,-3.0,-29.0,1.0,5.0,0.0,-0.33,2.0,16.0,0.0
1300,Renato Moicano,0.0,-1.1000000000000014,0.0,41.0,35.0,0.0,-1.0,0.0,0.0,9.0,26.0,1.0
1300,Calvin Kattar,-0.0,1.1000000000000014,0.0,-41.0,-35.0,0.0,1.0,0.0,0.0,-9.0,-26.0,0.0
1301,Zabit Magomedsharipov,6.0,-4.099999999999998,0.0,46.0,66.0,2.0,3.0,0.0,1.77,4.0,11.0,1.0
1301,Kyle Bochniak,-6.0,4.099999999999998,0.0,-46.0,-66.0,-2.0,-3.0,0.0,-1.77,-4.0,-11.0,0.0
1302,Devin Clark,-4.0,-1.3999999999999986,0.0,7.0,52.0,3.0,6.0,0.0,6.44,-4.0,4.0,1.0
1302,Mike Rodriguez,4.0,1.3999999999999986,0.0,-7.0,-52.0,-3.0,-6.0,0.0,-6.44,4.0,-4.0,0.0
1303,Jan Blachowicz,1.0,-3.0,1.0,31.0,62.0,0.0,3.0,0.0,2.39,-8.0,0.0,1.0
1303,Jimi Manuwa,-1.0,3.0,-1.0,-31.0,-62.0,0.0,-3.0,0.0,-2.39,8.0,0.0,0.0
